,account,number,cost,date,rowname,ind_row,report
265,Remedy Place,0-10,0,10/31/2023,Payroll Liabilities,16,Corporate & Marketing PL
266,Remedy Place,0-11,0,11/30/2023,Payroll Liabilities,16,Corporate & Marketing PL
267,Remedy Place,0-12,7115.08,12/31/2023,Payroll Liabilities,16,Corporate & Marketing PL
268,Remedy Place,0-13,-7115.08,1/31/2024,Payroll Liabilities,16,Corporate & Marketing PL
269,Remedy Place,0-14,0,2/29/2024,Payroll Liabilities,16,Corporate & Marketing PL
270,Remedy Place,0-15,0,3/31/2024,Payroll Liabilities,16,Corporate & Marketing PL
273,Remedy Place,0-1,0,1/31/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
274,Remedy Place,0-2,0,2/28/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
275,Remedy Place,0-3,0,3/31/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
276,Remedy Place,0-4,0,4/30/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
277,Remedy Place,0-5,0,5/31/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
278,Remedy Place,0-6,0,6/30/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
279,Remedy Place,0-7,0,7/31/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
280,Remedy Place,0-8,0,8/31/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
281,Remedy Place,0-9,0,9/30/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
282,Remedy Place,0-10,0,10/31/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
283,Remedy Place,0-11,0,11/30/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
284,Remedy Place,0-12,0,12/31/2023,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
285,Remedy Place,0-13,565.39,1/31/2024,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
286,Remedy Place,0-14,0,2/29/2024,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
287,Remedy Place,0-15,5470.29,3/31/2024,Payroll Liabilities:401k Liabilities,17,Corporate & Marketing PL
290,Remedy Place,0-1,0,1/31/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
291,Remedy Place,0-2,0,2/28/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
292,Remedy Place,0-3,0,3/31/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
293,Remedy Place,0-4,0,4/30/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
294,Remedy Place,0-5,0,5/31/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
295,Remedy Place,0-6,0,6/30/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
296,Remedy Place,0-7,0,7/31/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
297,Remedy Place,0-8,0,8/31/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
298,Remedy Place,0-9,0,9/30/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
299,Remedy Place,0-10,0,10/31/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
300,Remedy Place,0-11,0,11/30/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
301,Remedy Place,0-12,0,12/31/2023,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
302,Remedy Place,0-13,149,1/31/2024,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
303,Remedy Place,0-14,0,2/29/2024,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
304,Remedy Place,0-15,294.6,3/31/2024,Payroll Liabilities:Garnishment & Taxes Liabilities,18,Corporate & Marketing PL
307,Remedy Place,0-1,0,1/31/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
308,Remedy Place,0-2,0,2/28/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
309,Remedy Place,0-3,0,3/31/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
310,Remedy Place,0-4,0,4/30/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
311,Remedy Place,0-5,0,5/31/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
312,Remedy Place,0-6,0,6/30/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
313,Remedy Place,0-7,0,7/31/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
314,Remedy Place,0-8,0,8/31/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
315,Remedy Place,0-9,0,9/30/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
316,Remedy Place,0-10,0,10/31/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
317,Remedy Place,0-11,0,11/30/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
318,Remedy Place,0-12,0,12/31/2023,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
319,Remedy Place,0-13,4952.24,1/31/2024,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
320,Remedy Place,0-14,0,2/29/2024,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
321,Remedy Place,0-15,-3621.49,3/31/2024,Payroll Liabilities:Medical Benefits Liabilities,19,Corporate & Marketing PL
324,Remedy Place,0-1,-63174.11,1/31/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
325,Remedy Place,0-2,500.25,2/28/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
326,Remedy Place,0-3,500.25,3/31/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
327,Remedy Place,0-4,2000.25,4/30/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
328,Remedy Place,0-5,5500.25,5/31/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
329,Remedy Place,0-6,19000.25,6/30/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
330,Remedy Place,0-7,22000.25,7/31/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
331,Remedy Place,0-8,-142035.14,8/31/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
332,Remedy Place,0-9,24287.5,9/30/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
333,Remedy Place,0-10,22166.62,10/31/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
334,Remedy Place,0-11,-75748.99,11/30/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
335,Remedy Place,0-12,372734.09,12/31/2023,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
336,Remedy Place,0-13,-317056.35,1/31/2024,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
337,Remedy Place,0-14,-45516.36,2/29/2024,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
338,Remedy Place,0-15,17278.85,3/31/2024,Total Adjustments to reconcile Net Income to Net Cash provided by operations:,20,Corporate & Marketing PL
341,Remedy Place,0-1,-530862.97,1/31/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
342,Remedy Place,0-2,-220607.26,2/28/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
343,Remedy Place,0-3,-593090.09,3/31/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
344,Remedy Place,0-4,-236352.85,4/30/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
345,Remedy Place,0-5,-311295.63,5/31/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
346,Remedy Place,0-6,-349219.31,6/30/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
347,Remedy Place,0-7,-373146.93,7/31/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
348,Remedy Place,0-8,-417849.63,8/31/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
349,Remedy Place,0-9,-413801.16,9/30/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
350,Remedy Place,0-10,-386362.31,10/31/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
351,Remedy Place,0-11,-451596.74,11/30/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
352,Remedy Place,0-12,-389057.32,12/31/2023,Net cash provided by operating activities,21,Corporate & Marketing PL
353,Remedy Place,0-13,-682598.93,1/31/2024,Net cash provided by operating activities,21,Corporate & Marketing PL
354,Remedy Place,0-14,-417410.43,2/29/2024,Net cash provided by operating activities,21,Corporate & Marketing PL
355,Remedy Place,0-15,-490201.29,3/31/2024,Net cash provided by operating activities,21,Corporate & Marketing PL
358,Remedy Place,0-1,,1/31/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
359,Remedy Place,0-2,,2/28/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
360,Remedy Place,0-3,,3/31/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
361,Remedy Place,0-4,,4/30/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
362,Remedy Place,0-5,,5/31/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
363,Remedy Place,0-6,,6/30/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
364,Remedy Place,0-7,,7/31/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
365,Remedy Place,0-8,,8/31/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
366,Remedy Place,0-9,,9/30/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
367,Remedy Place,0-10,,10/31/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
368,Remedy Place,0-11,,11/30/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
369,Remedy Place,0-12,,12/31/2023,INVESTING ACTIVITIES,22,Corporate & Marketing PL
370,Remedy Place,0-13,,1/31/2024,INVESTING ACTIVITIES,22,Corporate & Marketing PL
371,Remedy Place,0-14,,2/29/2024,INVESTING ACTIVITIES,22,Corporate & Marketing PL
372,Remedy Place,0-15,,3/31/2024,INVESTING ACTIVITIES,22,Corporate & Marketing PL
375,Remedy Place,0-1,0,1/31/2023,Goldman - HYS,23,Corporate & Marketing PL
376,Remedy Place,0-2,0,2/28/2023,Goldman - HYS,23,Corporate & Marketing PL
377,Remedy Place,0-3,0,3/31/2023,Goldman - HYS,23,Corporate & Marketing PL
378,Remedy Place,0-4,0,4/30/2023,Goldman - HYS,23,Corporate & Marketing PL
379,Remedy Place,0-5,0,5/31/2023,Goldman - HYS,23,Corporate & Marketing PL
380,Remedy Place,0-6,0,6/30/2023,Goldman - HYS,23,Corporate & Marketing PL
381,Remedy Place,0-7,-11007009.59,7/31/2023,Goldman - HYS,23,Corporate & Marketing PL
382,Remedy Place,0-8,-40198.14,8/31/2023,Goldman - HYS,23,Corporate & Marketing PL
383,Remedy Place,0-9,-39018.9,9/30/2023,Goldman - HYS,23,Corporate & Marketing PL
384,Remedy Place,0-10,4180803.05,10/31/2023,Goldman - HYS,23,Corporate & Marketing PL
385,Remedy Place,0-11,-24373.91,11/30/2023,Goldman - HYS,23,Corporate & Marketing PL
386,Remedy Place,0-12,-25307.74,12/31/2023,Goldman - HYS,23,Corporate & Marketing PL
387,Remedy Place,0-13,474953.36,1/31/2024,Goldman - HYS,23,Corporate & Marketing PL
388,Remedy Place,0-14,629233.86,2/29/2024,Goldman - HYS,23,Corporate & Marketing PL
389,Remedy Place,0-15,705444.06,3/31/2024,Goldman - HYS,23,Corporate & Marketing PL
392,Remedy Place,0-1,0,1/31/2023,Furniture - Office,24,Corporate & Marketing PL
393,Remedy Place,0-2,0,2/28/2023,Furniture - Office,24,Corporate & Marketing PL
394,Remedy Place,0-3,0,3/31/2023,Furniture - Office,24,Corporate & Marketing PL
395,Remedy Place,0-4,0,4/30/2023,Furniture - Office,24,Corporate & Marketing PL
396,Remedy Place,0-5,0,5/31/2023,Furniture - Office,24,Corporate & Marketing PL
397,Remedy Place,0-6,0,6/30/2023,Furniture - Office,24,Corporate & Marketing PL
398,Remedy Place,0-7,0,7/31/2023,Furniture - Office,24,Corporate & Marketing PL
399,Remedy Place,0-8,0,8/31/2023,Furniture - Office,24,Corporate & Marketing PL
400,Remedy Place,0-9,-10268.75,9/30/2023,Furniture - Office,24,Corporate & Marketing PL
401,Remedy Place,0-10,0,10/31/2023,Furniture - Office,24,Corporate & Marketing PL
402,Remedy Place,0-11,0,11/30/2023,Furniture - Office,24,Corporate & Marketing PL
403,Remedy Place,0-12,0,12/31/2023,Furniture - Office,24,Corporate & Marketing PL
404,Remedy Place,0-13,0,1/31/2024,Furniture - Office,24,Corporate & Marketing PL
405,Remedy Place,0-14,0,2/29/2024,Furniture - Office,24,Corporate & Marketing PL
406,Remedy Place,0-15,0,3/31/2024,Furniture - Office,24,Corporate & Marketing PL
409,Remedy Place,0-1,0,1/31/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
410,Remedy Place,0-2,0,2/28/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
411,Remedy Place,0-3,0,3/31/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
412,Remedy Place,0-4,0,4/30/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
413,Remedy Place,0-5,0,5/31/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
414,Remedy Place,0-6,0,6/30/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
415,Remedy Place,0-7,-11007009.59,7/31/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
416,Remedy Place,0-8,-40198.14,8/31/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
417,Remedy Place,0-9,-49287.65,9/30/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
418,Remedy Place,0-10,4180803.05,10/31/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
419,Remedy Place,0-11,-24373.91,11/30/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
420,Remedy Place,0-12,-25307.74,12/31/2023,Net cash provided by investing activities,25,Corporate & Marketing PL
421,Remedy Place,0-13,474953.36,1/31/2024,Net cash provided by investing activities,25,Corporate & Marketing PL
422,Remedy Place,0-14,629233.86,2/29/2024,Net cash provided by investing activities,25,Corporate & Marketing PL
423,Remedy Place,0-15,705444.06,3/31/2024,Net cash provided by investing activities,25,Corporate & Marketing PL
426,Remedy Place,0-1,,1/31/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
427,Remedy Place,0-2,,2/28/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
428,Remedy Place,0-3,,3/31/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
429,Remedy Place,0-4,,4/30/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
430,Remedy Place,0-5,,5/31/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
431,Remedy Place,0-6,,6/30/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
432,Remedy Place,0-7,,7/31/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
433,Remedy Place,0-8,,8/31/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
434,Remedy Place,0-9,,9/30/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
435,Remedy Place,0-10,,10/31/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
436,Remedy Place,0-11,,11/30/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
437,Remedy Place,0-12,,12/31/2023,FINANCING ACTIVITIES,26,Corporate & Marketing PL
438,Remedy Place,0-13,,1/31/2024,FINANCING ACTIVITIES,26,Corporate & Marketing PL
439,Remedy Place,0-14,,2/29/2024,FINANCING ACTIVITIES,26,Corporate & Marketing PL
440,Remedy Place,0-15,,3/31/2024,FINANCING ACTIVITIES,26,Corporate & Marketing PL
443,Remedy Place,0-1,0,1/31/2023,Interest Payable,27,Corporate & Marketing PL
444,Remedy Place,0-2,0,2/28/2023,Interest Payable,27,Corporate & Marketing PL
445,Remedy Place,0-3,-731,3/31/2023,Interest Payable,27,Corporate & Marketing PL
446,Remedy Place,0-4,0,4/30/2023,Interest Payable,27,Corporate & Marketing PL
447,Remedy Place,0-5,0,5/31/2023,Interest Payable,27,Corporate & Marketing PL
448,Remedy Place,0-6,0,6/30/2023,Interest Payable,27,Corporate & Marketing PL
449,Remedy Place,0-7,0,7/31/2023,Interest Payable,27,Corporate & Marketing PL
450,Remedy Place,0-8,-2924,8/31/2023,Interest Payable,27,Corporate & Marketing PL
451,Remedy Place,0-9,-2924,9/30/2023,Interest Payable,27,Corporate & Marketing PL
452,Remedy Place,0-10,0,10/31/2023,Interest Payable,27,Corporate & Marketing PL
453,Remedy Place,0-11,-2311.02,11/30/2023,Interest Payable,27,Corporate & Marketing PL
454,Remedy Place,0-12,0,12/31/2023,Interest Payable,27,Corporate & Marketing PL
455,Remedy Place,0-13,0,1/31/2024,Interest Payable,27,Corporate & Marketing PL
456,Remedy Place,0-14,0,2/29/2024,Interest Payable,27,Corporate & Marketing PL
457,Remedy Place,0-15,0,3/31/2024,Interest Payable,27,Corporate & Marketing PL
460,Remedy Place,0-1,0,1/31/2023,SBA Loan,28,Corporate & Marketing PL
461,Remedy Place,0-2,0,2/28/2023,SBA Loan,28,Corporate & Marketing PL
462,Remedy Place,0-3,0,3/31/2023,SBA Loan,28,Corporate & Marketing PL
463,Remedy Place,0-4,0,4/30/2023,SBA Loan,28,Corporate & Marketing PL
464,Remedy Place,0-5,0,5/31/2023,SBA Loan,28,Corporate & Marketing PL
465,Remedy Place,0-6,0,6/30/2023,SBA Loan,28,Corporate & Marketing PL
466,Remedy Place,0-7,0,7/31/2023,SBA Loan,28,Corporate & Marketing PL
467,Remedy Place,0-8,0,8/31/2023,SBA Loan,28,Corporate & Marketing PL
468,Remedy Place,0-9,0,9/30/2023,SBA Loan,28,Corporate & Marketing PL
469,Remedy Place,0-10,0,10/31/2023,SBA Loan,28,Corporate & Marketing PL
470,Remedy Place,0-11,-612.98,11/30/2023,SBA Loan,28,Corporate & Marketing PL
471,Remedy Place,0-12,-2924,12/31/2023,SBA Loan,28,Corporate & Marketing PL
472,Remedy Place,0-13,-2924,1/31/2024,SBA Loan,28,Corporate & Marketing PL
473,Remedy Place,0-14,-2924,2/29/2024,SBA Loan,28,Corporate & Marketing PL
474,Remedy Place,0-15,-2924,3/31/2024,SBA Loan,28,Corporate & Marketing PL
477,Remedy Place,0-1,0,1/31/2023,Opening Balance Equity,29,Corporate & Marketing PL
478,Remedy Place,0-2,0,2/28/2023,Opening Balance Equity,29,Corporate & Marketing PL
479,Remedy Place,0-3,0,3/31/2023,Opening Balance Equity,29,Corporate & Marketing PL
480,Remedy Place,0-4,17785.05,4/30/2023,Opening Balance Equity,29,Corporate & Marketing PL
481,Remedy Place,0-5,0,5/31/2023,Opening Balance Equity,29,Corporate & Marketing PL
482,Remedy Place,0-6,0,6/30/2023,Opening Balance Equity,29,Corporate & Marketing PL
483,Remedy Place,0-7,0,7/31/2023,Opening Balance Equity,29,Corporate & Marketing PL
484,Remedy Place,0-8,0,8/31/2023,Opening Balance Equity,29,Corporate & Marketing PL
485,Remedy Place,0-9,0,9/30/2023,Opening Balance Equity,29,Corporate & Marketing PL
486,Remedy Place,0-10,0,10/31/2023,Opening Balance Equity,29,Corporate & Marketing PL
487,Remedy Place,0-11,0,11/30/2023,Opening Balance Equity,29,Corporate & Marketing PL
488,Remedy Place,0-12,0,12/31/2023,Opening Balance Equity,29,Corporate & Marketing PL
489,Remedy Place,0-13,0,1/31/2024,Opening Balance Equity,29,Corporate & Marketing PL
490,Remedy Place,0-14,0,2/29/2024,Opening Balance Equity,29,Corporate & Marketing PL
491,Remedy Place,0-15,0,3/31/2024,Opening Balance Equity,29,Corporate & Marketing PL
494,Remedy Place,0-1,0,1/31/2023,Owner's Investment,30,Corporate & Marketing PL
495,Remedy Place,0-2,0,2/28/2023,Owner's Investment,30,Corporate & Marketing PL
496,Remedy Place,0-3,0,3/31/2023,Owner's Investment,30,Corporate & Marketing PL
497,Remedy Place,0-4,0,4/30/2023,Owner's Investment,30,Corporate & Marketing PL
498,Remedy Place,0-5,250000,5/31/2023,Owner's Investment,30,Corporate & Marketing PL
499,Remedy Place,0-6,0,6/30/2023,Owner's Investment,30,Corporate & Marketing PL
500,Remedy Place,0-7,0,7/31/2023,Owner's Investment,30,Corporate & Marketing PL
501,Remedy Place,0-8,0,8/31/2023,Owner's Investment,30,Corporate & Marketing PL
502,Remedy Place,0-9,0,9/30/2023,Owner's Investment,30,Corporate & Marketing PL
503,Remedy Place,0-10,0,10/31/2023,Owner's Investment,30,Corporate & Marketing PL
504,Remedy Place,0-11,0,11/30/2023,Owner's Investment,30,Corporate & Marketing PL
505,Remedy Place,0-12,0,12/31/2023,Owner's Investment,30,Corporate & Marketing PL
506,Remedy Place,0-13,0,1/31/2024,Owner's Investment,30,Corporate & Marketing PL
507,Remedy Place,0-14,0,2/29/2024,Owner's Investment,30,Corporate & Marketing PL
508,Remedy Place,0-15,0,3/31/2024,Owner's Investment,30,Corporate & Marketing PL
511,Remedy Place,0-1,0,1/31/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
512,Remedy Place,0-2,0,2/28/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
513,Remedy Place,0-3,0,3/31/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
514,Remedy Place,0-4,0,4/30/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
515,Remedy Place,0-5,15000000,5/31/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
516,Remedy Place,0-6,0,6/30/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
517,Remedy Place,0-7,0,7/31/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
518,Remedy Place,0-8,0,8/31/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
519,Remedy Place,0-9,0,9/30/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
520,Remedy Place,0-10,0,10/31/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
521,Remedy Place,0-11,0,11/30/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
522,Remedy Place,0-12,0,12/31/2023,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
523,Remedy Place,0-13,0,1/31/2024,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
524,Remedy Place,0-14,0,2/29/2024,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
525,Remedy Place,0-15,0,3/31/2024,Owner's Investment:Equity Investment,31,Corporate & Marketing PL
528,Remedy Place,0-1,0,1/31/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
529,Remedy Place,0-2,0,2/28/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
530,Remedy Place,0-3,-731,3/31/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
531,Remedy Place,0-4,17785.05,4/30/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
532,Remedy Place,0-5,15250000,5/31/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
533,Remedy Place,0-6,0,6/30/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
534,Remedy Place,0-7,0,7/31/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
535,Remedy Place,0-8,-2924,8/31/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
536,Remedy Place,0-9,-2924,9/30/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
537,Remedy Place,0-10,0,10/31/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
538,Remedy Place,0-11,-2924,11/30/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
539,Remedy Place,0-12,-2924,12/31/2023,Net cash provided by financing activities,32,Corporate & Marketing PL
540,Remedy Place,0-13,-2924,1/31/2024,Net cash provided by financing activities,32,Corporate & Marketing PL
541,Remedy Place,0-14,-2924,2/29/2024,Net cash provided by financing activities,32,Corporate & Marketing PL
542,Remedy Place,0-15,-2924,3/31/2024,Net cash provided by financing activities,32,Corporate & Marketing PL
545,Remedy Place,0-1,-530862.97,1/31/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
546,Remedy Place,0-2,-220607.26,2/28/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
547,Remedy Place,0-3,-593821.09,3/31/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
548,Remedy Place,0-4,-218567.8,4/30/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
549,Remedy Place,0-5,14938704.37,5/31/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
550,Remedy Place,0-6,-349219.31,6/30/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
551,Remedy Place,0-7,-11380156.52,7/31/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
552,Remedy Place,0-8,-460971.77,8/31/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
553,Remedy Place,0-9,-466012.81,9/30/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
554,Remedy Place,0-10,3794440.74,10/31/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
555,Remedy Place,0-11,-478894.65,11/30/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
556,Remedy Place,0-12,-417289.06,12/31/2023,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
557,Remedy Place,0-13,-210569.57,1/31/2024,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
558,Remedy Place,0-14,208899.43,2/29/2024,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
559,Remedy Place,0-15,212318.77,3/31/2024,NET CASH INCREASE FOR PERIOD,33,Corporate & Marketing PL
1,Remedy Place,0-1,,1/31/2023,OPERATING ACTIVITIES,1,Flatiron CF
2,Remedy Place,0-2,,2/28/2023,OPERATING ACTIVITIES,1,Flatiron CF
3,Remedy Place,0-3,,3/31/2023,OPERATING ACTIVITIES,1,Flatiron CF
4,Remedy Place,0-4,,4/30/2023,OPERATING ACTIVITIES,1,Flatiron CF
5,Remedy Place,0-5,,5/31/2023,OPERATING ACTIVITIES,1,Flatiron CF
6,Remedy Place,0-6,,6/30/2023,OPERATING ACTIVITIES,1,Flatiron CF
7,Remedy Place,0-7,,7/31/2023,OPERATING ACTIVITIES,1,Flatiron CF
8,Remedy Place,0-8,,8/31/2023,OPERATING ACTIVITIES,1,Flatiron CF
9,Remedy Place,0-9,,9/30/2023,OPERATING ACTIVITIES,1,Flatiron CF
10,Remedy Place,0-10,,10/31/2023,OPERATING ACTIVITIES,1,Flatiron CF
11,Remedy Place,0-11,,11/30/2023,OPERATING ACTIVITIES,1,Flatiron CF
12,Remedy Place,0-12,,12/31/2023,OPERATING ACTIVITIES,1,Flatiron CF
13,Remedy Place,0-13,,1/31/2024,OPERATING ACTIVITIES,1,Flatiron CF
